Year,League,Name,Team,Position,GamesPlayed,TotalMinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,ThreesMade,ThreesAttempted,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,TotalRebounds,Assists,Steals,Turnovers,Blocks,PersonalFouls,Disqualifications,TotalPoints,Technicals,Ejections,FlagrantFouls,GamesStarted
02-03,NBA,Emanuel Ginobili,SAN,SG,69,1432,174,397,51,148,126,171,47,161,138,96,100,17,170,3,525,0,0,0,5
03-04,NBA,Emanuel Ginobili,SAN,SG,77,2260,330,789,88,245,239,298,86,344,291,136,161,16,181,0,987,3,0,0,38
04-05,NBA,Manu Ginobili,SAN,SG,74,2193,367,780,97,258,355,442,75,329,288,119,172,27,190,1,1186,2,0,0,74
05-06,NBA,Manu Ginobili,SAN,SG,65,1823,309,669,83,217,280,360,42,230,235,101,121,26,156,0,981,1,0,0,56
06-07,NBA,Manu Ginobili,SAN,SG,75,2064,396,854,128,323,320,372,59,327,263,109,157,27,155,0,1240,2,0,0,36
07-08,NBA,Manu Ginobili,SAN,SG,74,2299,453,983,156,388,380,442,63,354,332,109,200,33,173,0,1442,1,0,0,23
08-09,NBA,Manu Ginobili,SAN,SG,44,1185,223,491,69,209,168,190,24,198,157,64,88,16,90,0,683,0,0,0,7
09-10,NBA,Manu Ginobili,SAN,SG,75,2150,398,903,132,350,309,355,68,284,370,102,154,24,154,0,1237,2,0,0,21
10-11,NBA,Manu Ginobili,SAN,SG,80,2427,441,1018,154,441,357,410,42,295,393,123,174,28,163,0,1393,1,0,0,79
11-12,NBA,Manu Ginobili,SAN,SG,34,792,150,285,52,126,88,101,18,116,151,24,64,12,56,0,440,0,0,0,7
12-13,NBA,Manu Ginobili,SAN,SG,60,1394,229,539,83,235,164,206,30,201,274,80,132,13,114,0,705,0,0,0,0
13-14,NBA,Manu Ginobili,SAN,SG,68,1554,294,627,90,258,160,188,30,204,291,70,139,17,128,0,838,0,0,0,3
14-15,NBA,Manu Ginobili,SAN,SG,70,1591,251,589,89,258,147,204,28,211,293,67,154,20,138,0,738,0,0,0,0
15-16,NBA,Manu Ginobili,SAN,SG,58,1137,197,435,70,179,91,112,26,146,177,66,99,11,99,0,555,0,0,0,0
16-17,NBA,Manu Ginobili,SAN,SG,69,1293,171,439,89,227,86,107,30,158,183,81,96,15,119,0,517,1,0,0,0
